"filename", "language", "JavaScript", "vue", "XML", "CSS", "comment", "blank", "total"
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\App.vue", "vue", 0, 446, 0, 0, 5, 64, 515
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\base.css", "CSS", 0, 0, 0, 71, 2, 14, 87
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\close.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\dark.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\delete.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\flag-standalone.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\gear.svg", "XML", 0, 0, 3, 0, 0, 1, 4
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\light.svg", "XML", 0, 0, 11, 0, 0, 1, 12
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\logo.svg", "XML", 0, 0, 66, 0, 0, 1, 67
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\main.css", "CSS", 0, 0, 0, 21, 0, 5, 26
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\menu.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\new-chat.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\send.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\assets\settings.svg", "XML", 0, 0, 4, 0, 0, 1, 5
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\components\AppSidebar.vue", "vue", 0, 253, 0, 0, 0, 42, 295
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\components\ChatPanel.vue", "vue", 0, 565, 0, 0, 1, 109, 675
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\components\MessageForm.vue", "vue", 0, 228, 0, 0, 5, 27, 260
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\components\SettingsPanel.vue", "vue", 0, 887, 0, 0, 0, 118, 1005
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\composables\memory.js", "JavaScript", 226, 0, 0, 0, 33, 30, 289
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\composables\message.js", "JavaScript", 445, 0, 0, 0, 63, 55, 563
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\composables\settings.js", "JavaScript", 97, 0, 0, 0, 6, 17, 120
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\composables\storeConversations.js", "JavaScript", 75, 0, 0, 0, 11, 22, 108
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\emitter.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"c:\Users\del\AppData\Roaming\Projects\aegis-ai\src\main.js", "JavaScript", 4, 0, 0, 0, 0, 3, 7
"Total", "-", 849, 2379, 93, 92, 126, 513, 4052
